Label	Weight	Text
l_manner	1	목적
l_manner	1	목적이뭐니
l_manner	1	목적이뭐니
l_manner	1	목적이뭐야
l_manner	1	목적알려줘
manner_qna	1	성적 관련 문의
manner_qna	1	상하관계
manner_qna	1	본의 아니게 다른 사람들보다 먼저 식사를 마쳤을 경우 어떻게 행동할까
manner_qna	1	3. 몸상태가 안좋으면 자기 몫의 반찬은 덜어먹는다.
manner_qna	1	동등 관계
manner_qna	1	Q. 상견례를 마쳤습니다. 이후 순서는 어떻게 되는 거죠
manner_qna	1	네티켓 더 알아보기
manner_qna	1	과제 관련 문의
manner_qna	1	3. 아들, 딸 구분하지 않기
manner_qna	1	3. 상대방을 비방하거나 욕하는 댓글을 달지 않는다.
manner_qna	1	▶ 결혼식 중 지켜야 할 하객의 기본 자세는
manner_qna	1	안녕
manner_qna	1	▶3. 흰색 옷을 입은 사람이 두 명? 신부는 대체 누구!
manner_qna	1	▶ 예식장에서 꼭 해야 하는 말이 있다면
manner_qna	1	Q. 상견례 선물이 꼭 필요한가요
manner_qna	1	공공장소 예절에 대해 알아볼까요
manner_qna	1	아는 사람을 소개할 때에는 어떤 것들을 말해야 하나
manner_qna	1	다음 문제 풀기
manner_qna	1	개념하객이 말하는 결혼식 에티켓 7가지
manner_qna	1	2. 고속도로 1차로에서 시속 50~60km로 드라이브하기
manner_qna	1	출결 문의
manner_qna	1	1. 험담하지 않기
manner_qna	1	사이버 예절을 알아볼까요
manner_qna	1	1. 내차의 존재감을 알리기 위해 클랙슨 울리기
manner_qna	1	출석 문의
manner_qna	1	1.수고하는 안내견에게 음식이나 간식을 준다
manner_qna	1	출석
manner_qna	1	2. 익명의 공간이니 타인에 대해 자유롭게 평가한다.
manner_qna	1	hello
manner_qna	1	2. 친한 친구에게 돈 자주 빌리기
manner_qna	1	2. 화려한 장신구나 악세사리를 착용한다.
manner_qna	1	3. 간사한 짓 하지 않기
manner_qna	1	친구간 예절을 알아볼까요
manner_qna	1	면담 관련 문의
manner_qna	1	면담 요청
manner_qna	1	1. 객관적 근거가 없는 비난/험담을 한다.
manner_qna	1	1. a-b-c-d
manner_qna	1	3. c-a-b-d
manner_qna	1	묵적을 알려주세요
manner_qna	1	다음 문제 풀기
manner_qna	1	2. 좋아하는 햄을 먹기위해 부대찌개 뒤적거리기
manner_qna	1	2.보행중인 안내견을 쓰다듬지 않는다.
manner_qna	1	두번째 문제 풀기
manner_qna	1	출석인정 문의
manner_qna	1	경적을 울리기 위한 적절한 상황은
manner_qna	1	목적이 무엇입니까
manner_qna	1	올해 연말 모임에 회자될 주제를 꼽는다면
manner_qna	1	세번째 문제 풀기
manner_qna	1	2. c-b-a-d
manner_qna	1	조리원 및 병실 방문 예절 더 알아보기
manner_qna	1	파티에서 꼴불견인 모습은 어떤 것인가
manner_qna	1	▶ 결혼식장 하객 옷차림 에티켓은
manner_qna	1	3.안내견을 부르지 않는다.
manner_qna	1	조별과제 수행 중 지켜야 할 에티켓 에티켓 7가지는
manner_qna	1	모임에 어울릴 수 있는 노하우가 있다면
manner_qna	1	고속도로에서 지켜야할 에티켓 7가지는
manner_qna	1	설날 예절에 대해 알아볼까요
manner_qna	1	1.     상대 결혼식에 내가 축의금을 냈을 때
manner_qna	1	1. 음주시 건배를 한다.
manner_qna	1	장례식장에서 지켜야할 에티켓 7가지는?
manner_qna	1	비공식학과 행사
manner_qna	1	교통 예절을 알아볼까요
manner_qna	1	Q. 어떤 이야기를 해야 할까요? 결혼식 일정을 논의해도 되나요
manner_qna	1	Q. 상견례자리에서 호칭을 어떻게 해야 하죠
manner_qna	1	면담 요청드리고 싶은데 어떻게 하지
manner_qna	1	안내견을 봤을 때 꼭 지켜야하는 주의사항
manner_qna	1	문장교정
manner_qna	1	안녕하세요
manner_qna	1	경적은 언제 울려야 하나요?
manner_qna	1	공식학과 행사
manner_qna	1	1. 본인이 맡은 역활 충실히 이행하기
manner_qna	1	퀴즈
manner_qna	1	3. 차 앞유리에 전화번호가 새겨진 물품을 항시 고정시켜놓기
manner_qna	1	목적
manner_qna	1	자동차 경적소리의 소음과 규제는
manner_qna	1	테이블 매너 중에서 한국 사람들이 가장 많이 저지르는 실수가 있다면
manner_qna	1	2.  상대가 주머니 사정이 좋지 않다고 미리 말했을 때
manner_qna	1	생활 예절
manner_qna	1	3. 잠수복 쫙 빼입고 잠수타기
manner_qna	1	식사예절에 대해 알아볼까요
manner_qna	1	경적소리의 규제는
manner_qna	1	2. 친구들과 수차례 방문하기
